,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
17,The Matrix,1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R,Action Sci-Fi,['136 min'],136,"1,755,089",$171.48M,8.7,73
18,Goodfellas,1990,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",R,Biography Crime Drama,['146 min'],146,"1,068,971",$46.84M,8.7,90
19,Star Wars: Episode V - The Empire Strikes Back,1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,Action Adventure Fantasy,['124 min'],124,"1,204,189",$290.48M,8.7,82
20,One Flew Over the Cuckoo's Nest,1975,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",R,Drama,['133 min'],133,"953,305",$112.00M,8.7,84
21,Parasite,2019,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,R,Comedy Drama Thriller,['132 min'],132,"658,321",$53.37M,8.6,96
22,Drishyam 2,2021,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,152 min,Crime Drama Thriller,"['Crime', 'Drama', 'Thriller']",152,"30,671",*****,8.6,^^^^^^
23,Interstellar,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,PG-13,Adventure Drama Sci-Fi,['169 min'],169,"1,612,924",$188.02M,8.6,74
24,City of God,2002,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",R,Crime Drama,['130 min'],130,"721,451",$7.56M,8.6,79
25,Spirited Away,2001,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",PG,Animation Adventure Family,['125 min'],125,"692,739",$10.06M,8.6,96
26,Saving Private Ryan,1998,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R,Drama War,['169 min'],169,"1,290,902",$216.54M,8.6,91
27,The Green Mile,1999,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",R,Crime Drama Fantasy,['189 min'],189,"1,202,454",$136.80M,8.6,61
28,Life Is Beautiful,1997,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",PG-13,Comedy Drama Romance,['116 min'],116,"651,489",$57.60M,8.6,59
29,Se7en,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",R,Crime Drama Mystery,['127 min'],127,"1,515,096",$100.13M,8.6,65
30,The Silence of the Lambs,1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",R,Crime Drama Thriller,['118 min'],118,"1,330,544",$130.74M,8.6,85
31,Star Wars: Episode IV - A New Hope,1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,Action Adventure Fantasy,['121 min'],121,"1,276,003",$322.74M,8.6,90
32,Hara-Kiri,1962,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Not Rated,Action Drama Mystery,['133 min'],133,"48,946",*****,8.6,85
33,Seven Samurai,1954,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Not Rated,Action Adventure Drama,['207 min'],207,"328,656",$0.27M,8.6,98
34,It's a Wonderful Life,1946,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,PG,Drama Family Fantasy,['130 min'],130,"422,071",*****,8.6,89
35,Raatchasan,2018,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Not Rated,Action Crime Drama,['170 min'],170,"34,729",*****,8.5,^^^^^^
36,Whiplash,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,R,Drama Music,['106 min'],106,"762,473",$13.09M,8.5,88
37,The Intouchables,2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",R,Biography Comedy Drama,['112 min'],112,"796,044",$13.18M,8.5,57
38,The Prestige,2006,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",PG-13,Drama Mystery Sci-Fi,['130 min'],130,"1,243,905",$53.09M,8.5,66
39,The Departed,2006,A crime action film about an undercover cop and a mole in the police attempting to identify each other while infiltrating an Irish gang in South Boston.,R,Crime Drama Thriller,['151 min'],151,"1,239,686",$132.38M,8.5,85
40,The Pianist,2002,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,R,Biography Drama Music,['150 min'],150,"769,765",$32.57M,8.5,85
41,Gladiator,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R,Action Adventure Drama,['155 min'],155,"1,397,457",$187.71M,8.5,67
42,American History X,1998,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,R,Drama,['119 min'],119,"1,066,705",$6.72M,8.5,62
43,The Usual Suspects,1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",R,Crime Mystery Thriller,['106 min'],106,"1,028,064",$23.34M,8.5,77
44,Léon: The Professional,1994,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",R,Action Crime Drama,['110 min'],110,"1,080,557",$19.50M,8.5,64
45,The Lion King,1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",G,Animation Adventure Drama,['88 min'],88,"982,828",$422.78M,8.5,88
46,Terminator 2: Judgment Day,1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",R,Action Sci-Fi,['137 min'],137,"1,032,910",$204.84M,8.5,75
47,Cinema Paradiso,1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,R,Drama Romance,['155 min'],155,"245,105",$11.99M,8.5,80
48,Grave of the Fireflies,1988,A young boy and his little sister struggle to survive in Japan during World War II.,Not Rated,Animation Drama War,['89 min'],89,"252,331",*****,8.5,94
49,Back to the Future,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",PG,Adventure Comedy Sci-Fi,['116 min'],116,"1,111,890",$210.61M,8.5,87
50,Once Upon a Time in the West,1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,PG-13,Western,['165 min'],165,"314,142",$5.32M,8.5,80
51,Psycho,1960,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",R,Horror Mystery Thriller,['109 min'],109,"629,926",$32.00M,8.5,97
52,Pather Panchali,1955,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Not Rated,Drama,['125 min'],125,"28,368",$0.54M,8.5,^^^^^^
53,Rear Window,1954,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,PG,Mystery Thriller,['112 min'],112,"464,865",$36.76M,8.5,100
54,Casablanca,1942,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,PG,Drama Romance War,['102 min'],102,"542,472",$1.02M,8.5,100
55,Modern Times,1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,G,Comedy Drama Family,['87 min'],87,"228,475",$0.16M,8.5,96
56,City Lights,1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",G,Comedy Drama Romance,['87 min'],87,"175,803",$0.02M,8.5,99
57,Hamilton,2020,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",PG-13,Biography Drama History,['160 min'],160,"73,357",*****,8.4,90
58,Capharnaüm,2018,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",R,Drama,['126 min'],126,"75,071",$1.66M,8.4,75
59,Joker,2019,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",R,Crime Drama Thriller,['122 min'],122,"1,064,931",$335.45M,8.4,59
60,Ayla: The Daughter of War,2017,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",125 min,Biography Drama History,"['Biography', 'Drama', 'History']",125,"36,989",*****,8.4,^^^^^^
61,Your Name.,2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",PG,Animation Drama Fantasy,['106 min'],106,"224,176",$5.02M,8.4,79
62,Dangal,2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Not Rated,Action Biography Drama,['161 min'],161,"171,124",$12.39M,8.4,^^^^^^
63,Spider-Man: Into the Spider-Verse,2018,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",PG,Animation Action Adventure,['117 min'],117,"426,299",$190.24M,8.4,87
64,Avengers: Endgame,2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",PG-13,Action Adventure Drama,['181 min'],181,"936,873",$858.37M,8.4,78
65,Avengers: Infinity War,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,PG-13,Action Adventure Sci-Fi,['149 min'],149,"922,502",$678.82M,8.4,68
66,Coco,I 2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",PG,Animation Adventure Comedy,['105 min'],105,"430,965",$209.73M,8.4,81
67,Django Unchained,2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",R,Drama Western,['165 min'],165,"1,425,162",$162.81M,8.4,81
68,The Dark Knight Rises,2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",PG-13,Action,['164 min'],164,"1,576,717",$448.14M,8.4,78
69,3 Idiots,2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",PG-13,Comedy Drama,['170 min'],170,"367,419",$6.53M,8.4,67
70,Like Stars on Earth,2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",PG,Drama Family,['165 min'],165,"180,541",$1.22M,8.4,^^^^^^
71,WALL·E,2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",G,Animation Adventure Family,['98 min'],98,"1,041,747",$223.81M,8.4,95
72,The Lives of Others,2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",R,Drama Mystery Thriller,['137 min'],137,"372,438",$11.29M,8.4,89
73,Oldboy,2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",R,Action Drama Mystery,['120 min'],120,"540,226",$0.71M,8.4,77
74,Memento,2000,A man with short-term memory loss attempts to track down his wife's murderer.,R,Mystery Thriller,['113 min'],113,"1,168,356",$25.54M,8.4,80
75,Princess Mononoke,1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",PG-13,Animation Action Adventure,['134 min'],134,"364,398",$2.38M,8.4,76
76,Once Upon a Time in America,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",R,Crime Drama,['229 min'],229,"328,156",$5.32M,8.4,75
77,Indiana Jones and the Raiders of the Lost Ark,1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",PG,Action Adventure,['115 min'],115,"916,352",$248.16M,8.4,85
78,The Shining,1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",R,Drama Horror,['146 min'],146,"941,351",$44.02M,8.4,66
79,Apocalypse Now,1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,R,Drama Mystery War,['147 min'],147,"629,321",$83.47M,8.4,94
80,Alien,1979,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",R,Horror Sci-Fi,['117 min'],117,"822,470",$78.90M,8.4,89
81,High and Low,1963,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,Not Rated,Crime Drama Mystery,['143 min'],143,"39,506",*****,8.4,^^^^^^
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,PG,Comedy,['95 min'],95,"467,328",$0.28M,8.4,97
83,Witness for the Prosecution,1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Approved,Crime Drama Mystery,['116 min'],116,"116,248",$8.18M,8.4,^^^^^^
84,Paths of Glory,1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Approved,Drama War,['88 min'],88,"186,965",*****,8.4,90
85,Sunset Blvd.,1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Passed,Drama Film-Noir,['110 min'],110,"210,914",*****,8.4,^^^^^^
86,The Great Dictator,1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,G,Comedy Drama War,['125 min'],125,"213,040",$0.29M,8.4,^^^^^^
87,Chhichhore,2019,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Not Rated,Comedy Drama Romance,['143 min'],143,"43,942",$0.90M,8.3,^^^^^^
88,1917,2019,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",R,Action Drama War,['119 min'],119,"489,980",$159.23M,8.3,78
89,Uri: The Surgical Strike,2019,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Not Rated,Action Drama War,['138 min'],138,"51,501",$4.19M,8.3,^^^^^^
90,Tumbbad,2018,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Not Rated,Drama Fantasy Horror,['104 min'],104,"36,773",*****,8.3,^^^^^^
91,K.G.F: Chapter 1,2018,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Not Rated,Action Crime Drama,['156 min'],156,"47,417",*****,8.3,^^^^^^
92,Vikram Vedha,2017,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",Not Rated,Action Crime Drama,['147 min'],147,"33,456",*****,8.3,^^^^^^
93,Drishyam,2013,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Not Rated,Crime Drama Thriller,['160 min'],160,"38,065",*****,8.3,^^^^^^
94,The Hunt,2012,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",R,Drama,['115 min'],115,"302,921",$0.69M,8.3,77
95,A Separation,2011,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,PG-13,Drama,['123 min'],123,"231,846",$7.10M,8.3,95
96,Incendies,2010,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,R,Drama Mystery War,['131 min'],131,"161,687",$6.86M,8.3,80
97,Demon Slayer: Mugen Train,2020,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",R,Animation Action Adventure,['117 min'],117,"35,343",$47.70M,8.3,75
98,The Father,I 2020,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",PG-13,Drama,['97 min'],97,"95,056",*****,8.3,88
99,My Father and My Son,2005,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Not Rated,Drama Family,['112 min'],112,"83,006",*****,8.3,^^^^^^
100,Inglourious Basterds,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",R,Adventure Drama War,['153 min'],153,"1,331,556",$120.54M,8.3,69
101,Eternal Sunshine of the Spotless Mind,2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",R,Drama Romance Sci-Fi,['108 min'],108,"947,681",$34.40M,8.3,89
102,Amélie,2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",R,Comedy Romance,['122 min'],122,"724,532",$33.23M,8.3,69
103,Snatch,2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",R,Comedy Crime,['102 min'],102,"811,002",$30.33M,8.3,55
104,Requiem for a Dream,2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,R,Drama,['102 min'],102,"795,158",$3.64M,8.3,68
105,American Beauty,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,R,Drama,['122 min'],122,"1,103,744",$130.10M,8.3,84
106,Good Will Hunting,1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",R,Drama Romance,['126 min'],126,"899,788",$138.43M,8.3,70
107,Children of Heaven,1997,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",PG,Drama Family Sport,['89 min'],89,"70,177",$0.93M,8.3,77
108,Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,G,Animation Adventure Comedy,['81 min'],81,"926,238",$191.80M,8.3,95
109,Braveheart,1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,R,Biography Drama History,['178 min'],178,"987,998",$75.60M,8.3,68
110,Reservoir Dogs,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R,Crime Drama Thriller,['99 min'],99,"957,165",$2.83M,8.3,79
111,Full Metal Jacket,1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,R,Drama War,['116 min'],116,"700,955",$46.36M,8.3,76
112,Come and See,1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Not Rated,Drama Thriller War,['142 min'],142,"67,804",*****,8.3,^^^^^^
113,Aliens,1986,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",R,Action Adventure Sci-Fi,['137 min'],137,"677,927",$85.16M,8.3,84
114,Amadeus,1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",R,Biography Drama History,['160 min'],160,"382,034",$51.97M,8.3,88
115,Scarface,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",R,Crime Drama,['170 min'],170,"777,650",$45.60M,8.3,65
116,Star Wars: Episode VI - Return of the Jedi,1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",PG,Action Adventure Fantasy,['131 min'],131,"985,495",$309.13M,8.3,58
117,Das Boot,1981,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",R,Adventure Drama Thriller,['149 min'],149,"240,391",$11.49M,8.3,86
118,The Sting,1973,Two grifters team up to pull off the ultimate con.,PG,Comedy Crime Drama,['129 min'],129,"250,461",$159.60M,8.3,83
119,A Clockwork Orange,1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",R,Crime Drama Sci-Fi,['136 min'],136,"785,205",$6.21M,8.3,77
120,2001: A Space Odyssey,1968,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",G,Adventure Sci-Fi,['149 min'],149,"629,154",$56.95M,8.3,84
121,To Kill a Mockingbird,1962,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Approved,Crime Drama,['129 min'],129,"304,091",*****,8.3,88
122,Lawrence of Arabia,1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Approved,Adventure Biography Drama,['228 min'],228,"279,267",$44.82M,8.3,100
123,The Apartment,1960,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Approved,Comedy Drama Romance,['125 min'],125,"171,974",$18.60M,8.3,94
124,North by Northwest,1959,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Approved,Adventure Mystery Thriller,['136 min'],136,"311,919",$13.28M,8.3,98
125,Vertigo,1958,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,PG,Mystery Romance Thriller,['128 min'],128,"381,796",$3.20M,8.3,100
126,Singin' in the Rain,1952,A silent film production company and cast make a difficult transition to sound.,G,Comedy Musical Romance,['103 min'],103,"228,442",$8.82M,8.3,99
127,Ikiru,1952,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Not Rated,Drama,['143 min'],143,"73,583",$0.06M,8.3,^^^^^^
128,Bicycle Thieves,1948,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Not Rated,Drama,['89 min'],89,"155,505",$0.33M,8.3,^^^^^^
129,Double Indemnity,1944,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Passed,Crime Drama Film-Noir,['107 min'],107,"149,873",$5.72M,8.3,95
130,Citizen Kane,1941,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",PG,Drama Mystery,['119 min'],119,"421,990",$1.59M,8.3,100
131,M,1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Passed,Crime Mystery Thriller,['99 min'],99,"150,400",$0.03M,8.3,^^^^^^
